"asistente","codigoAudiencia"
"FERNANDO ENRIQUE JIMENEZ BENAVIDES","nr00246801"
"JAIME ROSENDO MERIÑO CONSTANZO","nr00246801"
"JUAN CARLOS PARADA FUENTES","nr00246801"
"ANTONIO  JARA MORALES","nr00248071"
"SERGIO CASTILLO CHAMBON","nr0033051"
"Alejandro Teuber Quezada","nr0033441"
"Luis Opazo Roco","nr0033441"
"Xavier Texido Zlatar","nr0033631"
"Miguel Fuentes Díaz","nr0033961"
"Pablo Mattar Oyarzún","nr0033131"
"Ignacio Andrés de la Cuadra Garretón","nr0033131"
"JUAN PABLO  MATTE FUENTES","nr0033451"
"Alberto Naudon Dell´Oro","nr0033561"
"Héctor Cortés Palma","nr0033591"
"Luis Marcelo Cubillos Yañez","nr0033651"
"Cristian Catalán Jerez","nr0033681"
"mauricio  seguel godoy","nr0033721"
"Felipe Carvallo Mendoza","nr0033911"
"Marco Antonio, Acuña Martínez","nr00524651"
"Felipe, Del Solar Agüero","nr00524831"
"Manuel, Catalán Reyes","nr00524941"
"Jacqueline, Gonzalez Leiva","nr00525031"
"HECTOR, AEDO WALTEMATH","nr00525321"
"Felipe, Del Solar Agüero","nr00524391"
"Luis Fernando, Laso","nr00524411"
"Enrique, Dayne","nr00524711"
"Amarilis, Horta","nr00524781"
"Francisco, Villalón Laidlaw","nr00525011"
"Luis Fernando, Laso","nr00525091"
"Alfonso, Barril","nr00525741"
"Miguel, Flores","nr00525771"
"David, Noé","nr00525771"
"Claudio, Bahamondes Saldías","nr00525781"
"IGNACIO RAMIREZ VILLEGAS","nr00243891"
"JACQUES MORA SEPULVEDA","nr00243891"
"LUIS RIOS MELILLAN","nr00244221"
"MIGUEL GUERRERO MALDONADO","nr00244231"
"JUAN CARLOS FERRADA BORQUEZ","nr00244391"
"MARCELO ORTIZ ARAVENA","nr00244681"
"MARITZA CASTRO CODOCEO","nr00246091"
"CAMILO FRANCISCO BENAVENTE JIMENEZ","nr00246341"
"CLAUDIO ALBERTO COLIVORO VERA","nr00246681"
"JUAN CARLOS FERRADA BÓRQUEZ","nr00247051"
"JUAN EDGARDO, SALDIAS SALDIAS","nr00525371"
"Jose Osvaldo, Figueroa Leal","nr00525381"
"Luz Maria , Viveros Lopez","nr00525681"
"Miguel, Avalos Medina","nr00525791"
"Andrés Alvarez Banda","nr0033021"
"Pablo Mattar Oyarzún","nr0033211"
"Sergio Morales Contreras","nr0033281"
"Mauricio  Miranda  Albarran","nr0033421"
"Alex  Kreimerman ","nr0033491"
"MONICA ILSE DUWE SCHANK","nr0033491"
"Amparo Lyon Rios","mu135lc001ap-00019031"
"MARCELA LORENA ALVAREZ MUÑOZ","mu1771718251"
"Claudio, Vera","nr00524861"
"Guillermo Antonio, Jimenez Henriquez","nr00525131"
"Ricardo, Riveros Vera","nr00525541"
"Doris Ramírez San Martín","mu313au15371"
"Daniella Cicardini","ab0012077691"
"Maya Fernández Allende","ab0012077691"
"MARLENE HAGEL HAMMERSLEY","ab0041620721"
"LUIS ALMONACID AVENDAÑO","ab0151766391"
"Rolando Escobar Acuña","ab0161786671"
"Mauricio Carreño Vargas","ab0161786671"
"Richard Alfonso Godoy Aguirre","ab0171680471"
"Victor Manuel Jorquera","ab0012077731"
"Juan Agustin Insulza Court","ab0012077731"
"Freddy Getner","ab0121622521"
"Gloria Ramirez","ab0121622521"
"Mariela Nancy Loncomän Rodriguez","ab0121622521"
"Jaime Antonio López González","ab0121622521"
"Pablo Pardo","ab0131502881"
"Raimundo Agliati Marchant","ab0161786681"
"Miguel Peña Droguett","ab0161786681"
"Matías Ignacio Orellana Cuéllar","ab0161786681"
"JOSE MIGUEL URRUTIA CELIS","ab0161789621"
"Hector Labbe Valenzuela","ab0161789621"
"liliana relos pacha","ab0171669631"
"Miryam Olivia Mamani Mamani","ab0171678691"
"CAROLA LIZETT BARRIA LEVIGUEN","ab0131531661"
"Jacqui Caine","ab0151555391"
"SALVADOR HARAMBOUR PALMA","ab0151555391"
"Adolfo Arturo Vargas Rojas","ab0171678731"
"Juan Avalos","ab0171678731"
"Manuel Ernesto Villalobos Pastén","ab0171678731"
"MIGUEL ANGEL ESCOBAR","ab0171688751"
"adolfo lorenzo carvajal salgado","ab0171688751"
"Lily Pérez","ab0181703511"
"David Avila Alarcon","ab0191635971"
"JUAN MARCOS GODOY ARAYA","ab0191635971"
"Guillermo Alfonso Lastra Jorquera","ab0191635971"
"Daniel Monsalvez Paredes","ab0191635971"
"JULIO MANUEL FUENTES ALARCON","ab0191803231"
"TEOLINDA BALTAZAR MAMANI","ab0241610361"
"Julio Osvaldo Valdés Viveros","ab0361617431"
"Diego Vergara Rodriguez","ab0211688831"
"Ana María Jacqueline Sánchez Fuentes","ab0221535381"
"Maria Elizabeth Barrios Valdes","ab0221535381"
"Miguel Angel Diaz Alvarez","ab0401678641"
"Dina Marisol Navarrete Galleguillos","ab0421792441"
"ROSITA HERMINIA BRITO ESPINA","ab0421792541"
"JORGE ESCOBAR","ab0421792541"
"Mario Joshua Corvalan Zuñiga","ad00920381"
"Mayor Sr. Diego Salas Villarroel","ad00920381"
"Arturo Alvestegui Provoste","ad00920591"
"Coronel Sr. Mauricio Poblete Peña","ad00920591"
"Capitán Sr. Nicolás Vega Guerra","ad00920591"
"Coronel Sr. Mauricio Poblete Peña","ad00920921"
"Capitán Sr. Nicolas Vega Guerra","ad00920921"
"Gabriel Calgaro","ad00921151"
"Jorge Guajardo Ruiz","ad00921151"
"Víctor Toscanini Mancilla","ad00921151"
"Mayor Sr. José Riffo Sáez","ad00921151"
"Marco Antonio Mora Cofre","ad00921191"
"Ricardo Javier Barrientos Rojel","ad00921191"
"Paulo Alejandro González Gutíerrez","ad00921191"
"Mayor Sr. Diego Salas Villarroel","ad00921191"
"Juan Carlos Montoy Siles","ad00921891"
"Mayor Sr. Marcos Meneses Vergara","ad00921891"
"Analista Marcelo San Martin Ramírez","ad00921891"
"Juan Cristobal Palacios Moraga","ad00922391"
"Sebastián Valenzuela Agüero","ad00922391"
"Álvaro Fuenzalida Maturana","ad00922391"
"Eduardo Hernández Palma","ad00922391"
