"codigoEmpLobby","empresaLobby","codigoActivo","activo","tipoActivo","codigoAudiencia"
"761292633r","Agrosuper SA","c7379f17b5540fcccc0ebcfc71440cac","Juan Pablo Uriarte","Gestor","ae0062263621"
"761298267r","vecchiola ingenieria y construccion s.a.","9278be34206937409c1c0d0936cf88f8","javier astudillo aguirre","Gestor","am0012320261"
"761298267r","vecchiola ingenieria y construccion s.a.","0b7e9e6b5a26a49f505149604f2406c5","carlos segundo pereira diaz","Gestor","ab0222316611"
"761298267r","vecchiola ingenieria y construccion s.a.","0b7e9e6b5a26a49f505149604f2406c5","carlos segundo pereira diaz","Gestor","am0012320261"
"761298267r","vecchiola ingenieria y construccion s.a.","f064f7db002cf9dd8ef10d8e41549b1a","HERNAN ARTURO CORNEJOS DELANO","Lobista","am0102228301"
"761298267r","vecchiola ingenieria y construccion s.a.","0b7e9e6b5a26a49f505149604f2406c5","carlos segundo pereira diaz","Lobista","am0102203891"
"761298267r","vecchiola ingenieria y construccion s.a.","58cc5b5988e7a81506f8b6b2cdaf1b2c","CARLOS FLORIN GUZMAN","Lobista","am0102228301"
"761298267r","vecchiola ingenieria y construccion s.a.","c85fe72c9859d9ae8a70375943fa9c4e","SANDRO ZAMBRA ZAMBRA","Lobista","am0102228301"
"761305492r","IGT","6d4c217bd897c93881badca786d915b7","ANDRES EDUARDO PASCAL ALLENDE","Gestor","al0072248381"
"761307126r","synapsis spa","0819052304a69eccb0f04e7930f2c6cc","Alexis Exequiel Peralta Diaz","Gestor","nr0037621"
"761307126r","synapsis spa","ef54d9a7b1a8a0babe1892f4ddfa369e","sebastian arturo soto tobar","Gestor","nr0037621"
"761336223r","INMOBILIARIA POCURO SUR SPA","07b2c7e6784708a6bc2cffac764e9ff7","Jorge Vallejos Alfaro","Gestor","mu3392335131"
"761381687r","INTELLEGO ASESSORIAS Y CONSULTORES LTDA","3a6de66572186c22d27a9e342fc51e7e","Angela Andrea Machuca Pérez","Gestor","ae0032224931"
"761403702r","eClass","ae602fc680fe398b063d1929b80e211a","Paula Andrea Vivero Andrade","Gestor","ad0152199701"
"761403702r","eClass","ae602fc680fe398b063d1929b80e211a","Paula Andrea Vivero Andrade","Gestor","ae0032332331"
"761403702r","eClass","ae602fc680fe398b063d1929b80e211a","Paula Andrea Vivero Andrade","Gestor","al0042240591"
"761403702r","eClass","ae602fc680fe398b063d1929b80e211a","Paula Andrea Vivero Andrade","Gestor","ao0112314861"
"761432052r","GEOresearch","2dd29d114f372d76393428b9e5657ff6","Edgardo César De Jesús Poblete Cornejo","Lobista","mu3412217881"
"761469827r","Constructora Dadelco Limitada","d034a0fe57ab21b2fc44cec78053a211","Fernando Daettwyler De Laire","Gestor","ap0112276451"
"761469827r","Constructora Dadelco Limitada","30c95896a9b0fc90fb629afb93bd470f","Constanza Mihoevic","Gestor","ap0112276451"
"761470418r","EXPLORACIONES REDHILL","5f6b899476ae29a0ac22e4c3c529611f","Walter Muehlebach","Lobista","as0012325811"
"761525204r","capacitaciones","76d403c9c788ea50e0cd4fdc4873b72c","pedro miguel segure valderrama","Gestor","al0072297101"
"761525204r","capacitaciones","76d403c9c788ea50e0cd4fdc4873b72c","pedro miguel segure valderrama","Gestor","al0072326031"
"761525204r","capacitaciones","76d403c9c788ea50e0cd4fdc4873b72c","pedro miguel segure valderrama","Lobista","aw0022358271"
