"codigoActivo","activo","uriEmpLobby","codigoEmpLobby","empresaLobby","codigoAudiencia","codigoRepresentado","representado","giroRepresentado"
"66c23ca38918a47da18b47b5d58bf4df","Felipe Purcell","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar7851",,,
"697c8b92db4fe0a7f95fef5950b476e2","Franco Cicoria","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6711",,,
"70d388896d9b40017be25bf8f5c9218c","Mauricio Ortiz","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6731",,,
"7a1e6d6b81448449a795abc7c6a1e23a","cristian ortiz","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6611",,,
"84c134bbbd91e3f89bef47599e1a95b8","Renato de la Cerda","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6851",,,
"85b2621ef1c4f2b45096a4d615714e56","Julio Albarran","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6671",,,
"862fa8bbe89f31b92f67b3741ab43f64","Nano Acevedo","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6351",,,
"862fa8bbe89f31b92f67b3741ab43f64","Nano Acevedo","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6651",,,
"99240d90fa67b9ec5844ad19f2766df3","renair ortiznoguera","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6611",,,
"9ba725879efbd39f2fe5cc43ed25a12b","hugo unzueta","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6581",,,
"a15d5d3cc2518119e20599ecef7c8a53","Williams ReyesCastillo","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6891",,,
"aed34d7f4cbdaa93551306436a8bee64","Marcela Galazcarreño","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar7191",,,
"cd2960cc42cec1eec1e79dbca1355d22","JuanLuis TapiaDonoso","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6251",,,
"de6a667cd3f24bf8ccd5de9736e7829d","ManuelIgnacio NazarPeña","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar7321",,,
"e43f1d44c31127c49c0f9afcb1451884","María Teresa Ovalle","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6031",,,
"e995fe4f1c2dee833b7f9f561b89bf7d","Walter Richard Droguett Orellana","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6471",,,
"e9a51a1f392fb27eadfbea4c6ab7004d","ERIC ANDRÉS AICHELE ROMERO","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6891",,,
"ec7f724d6dfb073d478e29b2b1d71a2c","ANALIA CORTES","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6671",,,
"f2fad8b263aac83a6baa7cbfd23d8f9f","Pamela Cubillos","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6711",,,
"1317469ab67ac731341e4786adf52e1c","Cristian Vergara","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6471",,,
